date,league,season,index,round,home_team,away_team,home_goals,away_goals,home_goals_first_half,away_goals_first_half,link,spectators
2017-07-29,Meisterschaft,2017-18,863,,GC,YB,0,4,0,1,http://www.bscyb.ch/news-events?nID=7472,6000
2017-08-02,CL-Qualifikation,2017-18,864,,YB,Dynamo Kiew,2,0,1,0,http://www.bscyb.ch/news-events?nID=7477,13303
2017-08-06,Meisterschaft,2017-18,865,,YB,Lausanne,3,0,2,0,http://www.bscyb.ch/news-events?nID=7482,17364
2017-08-09,Meisterschaft,2017-18,866,,YB,Thun,0,4,0,3,http://www.bscyb.ch/news-events?nID=7489,16863
2017-08-12,Schweizer Cup,2017-18,867,,Breitenrain,YB,0,3,0,1,http://www.bscyb.ch/news-events?nID=7494,6000
2017-08-15,Playoff CL,2017-18,868,,YB,ZSKA Moskau,0,1,0,0,http://www.bscyb.ch/news-events?nID=7498,20003
2017-08-19,Meisterschaft,2017-18,869,,Zürich,YB,0,0,,,http://www.bscyb.ch/news-events?nID=7503,15123
2017-08-23,Playoff CL,2017-18,870,,ZSKA Moskau,YB,2,0,1,0,http://www.bscyb.ch/news-events?nID=7511,17000
2017-08-27,Meisterschaft,2017-18,871,,St. Gallen,YB,2,2,1,1,http://www.bscyb.ch/news-events?nID=7522,11550
2017-09-10,Meisterschaft,2017-18,872,,YB,Lugano,3,0,1,0,http://www.bscyb.ch/news-events?nID=7546,20800
2017-09-14,Europa League,2017-18,873,,YB,Partizan Belgrad,1,1,1,1,http://www.bscyb.ch/news-events?nID=7553,13004
2017-09-17,Schweizer Cup,2017-18,874,,Old Boys,YB,0,4,0,2,http://www.bscyb.ch/news-events?nid=7556&pid=0,2500
2017-09-20,Meisterschaft,2017-18,875,,YB,Luzern,4,1,2,1,http://www.bscyb.ch/news-events?nID=7561,13341
2017-09-24,Meisterschaft,2017-18,876,,Sion,YB,0,1,0,0,http://www.bscyb.ch/news-events?nID=7567,10500
2017-09-28,Europa League,2017-18,877,,Skënderbeu Korça,YB,1,1,0,0,http://www.bscyb.ch/news-events?nID=7577,3000
2017-10-01,Meisterschaft,2017-18,878,,YB,St Gallen,6,1,1,0,http://www.bscyb.ch/news-events?nID=7583,20098
2017-10-14,Meisterschaft,2017-18,879,,Lausanne,YB,2,1,1,0,http://www.bscyb.ch/news-events?nID=7597,4640
2017-10-19,Europa League,2017-18,880,,Dynamo Kiew,YB,2,2,1,2,http://www.bscyb.ch/news-events?nID=7605,21700
2017-10-22,Meisterschaft,2017-18,881,,Luzern,YB,0,1,0,1,http://www.bscyb.ch/news-events?nID=7608,11500
2017-10-25,Schweizer Cup,2017-18,882,,Münsingen,YB,0,3,0,0,http://www.bscyb.ch/news-events?nID=7613,6113
2017-10-29,Meisterschaft,2017-18,883,,YB,Sion,5,1,3,1,http://www.bscyb.ch/news-events?nID=7621,18077
2017-11-02,Europa League,2017-18,884,,YB,Dynamo Kiew,0,1,0,0,http://www.bscyb.ch/news-events?nID=7631,10077
2017-11-05,Meisterschaft,2017-18,885,,Basel,YB,1,1,0,0,http://www.bscyb.ch/news-events?nID=7634,32456
2017-11-19,Meisterschaft,2017-18,886,,YB,Zürich,2,1,1,1,http://www.bscyb.ch/news-events?nID=7657,20800
2017-11-23,Europa League,2017-18,887,,Partizan Belgrad,YB,2,1,1,1,http://www.bscyb.ch/news-events?nID=7665,22000
